Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.08,-.20,-.17,-.09,-.13,-.22,-.21,-.17,-.16,***,***,-.10,-.15,-.19
1881,-.19,-.13,.04,.06,.07,-.17,.02,-.02,-.14,-.20,-.17,-.05,-.07,-.08,-.16,.06,-.06,-.17
1882,.18,.15,.06,-.15,-.13,-.22,-.15,-.06,-.14,-.23,-.15,-.35,-.10,-.07,.09,-.08,-.14,-.17
1883,-.28,-.36,-.12,-.17,-.16,-.07,-.05,-.13,-.20,-.11,-.22,-.11,-.16,-.18,-.33,-.15,-.08,-.18
1884,-.13,-.08,-.36,-.40,-.34,-.34,-.32,-.27,-.27,-.24,-.32,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.32,-.25,-.41,-.44,-.43,-.33,-.30,-.27,-.22,-.23,-.09,-.32,-.34,-.40,-.37,-.35,-.24
1886,-.43,-.50,-.42,-.27,-.23,-.34,-.17,-.30,-.23,-.27,-.26,-.24,-.30,-.29,-.34,-.31,-.27,-.25
1887,-.71,-.56,-.34,-.33,-.29,-.23,-.25,-.34,-.25,-.34,-.25,-.32,-.35,-.34,-.50,-.32,-.27,-.28
1888,-.33,-.35,-.41,-.19,-.21,-.17,-.10,-.15,-.11,.02,.04,-.03,-.17,-.19,-.33,-.27,-.14,-.02
1889,-.07,.18,.06,.10,.00,-.09,-.07,-.20,-.23,-.25,-.33,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.38,-.24,-.27,-.38,-.36,-.24,-.42,-.30,-.34,-.34,-.37,-.35,-.30,-.34
1891,-.33,-.46,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.41,-.37,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.80,-.56,-.22,-.27,-.33,-.25,-.13,-.24,-.22,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.52,-.28,-.22,-.44,-.30,-.40,-.23,-.23,-.27,-.23,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.26,-.20,-.16,-.16,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.26,-.17,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.10,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.01
1897,-.15,-.17,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.17,-.19,-.10,-.09,-.12,-.05,-.07,-.12
1898,-.01,-.28,-.50,-.30,-.29,-.18,-.21,-.25,-.21,-.34,-.38,-.23,-.26,-.26,-.16,-.36,-.21,-.31
1899,-.16,-.38,-.36,-.20,-.22,-.31,-.15,-.08,-.05,-.04,.13,-.25,-.17,-.17,-.25,-.26,-.18,.01
1900,-.35,-.05,.01,-.08,-.08,-.09,-.12,-.08,-.05,.10,-.06,-.06,-.08,-.09,-.21,-.05,-.10,.00
1901,-.21,-.11,.06,-.02,-.15,-.12,-.14,-.20,-.22,-.28,-.17,-.27,-.15,-.14,-.13,-.03,-.15,-.23
1902,-.17,-.07,-.28,-.28,-.32,-.29,-.28,-.30,-.29,-.28,-.35,-.41,-.28,-.27,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.41,-.39,-.42,-.35,-.45,-.50,-.48,-.42,-.50,-.37,-.36,-.23,-.34,-.41,-.47
1904,-.63,-.57,-.48,-.50,-.51,-.48,-.50,-.48,-.55,-.38,-.17,-.32,-.46,-.48,-.57,-.50,-.49,-.37
1905,-.34,-.58,-.21,-.33,-.29,-.28,-.26,-.20,-.19,-.24,-.06,-.12,-.26,-.28,-.42,-.28,-.25,-.16
1906,-.28,-.29,-.18,-.04,-.25,-.20,-.22,-.19,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.21,-.28
1907,-.42,-.51,-.26,-.36,-.46,-.41,-.34,-.33,-.34,-.22,-.46,-.46,-.38,-.36,-.36,-.36,-.36,-.34
1908,-.44,-.33,-.55,-.44,-.37,-.38,-.35,-.46,-.35,-.43,-.51,-.49,-.42,-.42,-.41,-.45,-.39,-.43
1909,-.72,-.45,-.54,-.58,-.54,-.51,-.45,-.33,-.39,-.39,-.31,-.56,-.48,-.47,-.55,-.55,-.43,-.36
1910,-.41,-.40,-.50,-.42,-.34,-.38,-.34,-.36,-.38,-.40,-.54,-.67,-.43,-.42,-.46,-.42,-.36,-.44
1911,-.62,-.57,-.61,-.53,-.51,-.50,-.41,-.43,-.40,-.26,-.21,-.21,-.44,-.48,-.62,-.55,-.44,-.29
1912,-.25,-.13,-.37,-.17,-.21,-.22,-.42,-.54,-.58,-.57,-.38,-.43,-.35,-.34,-.20,-.25,-.39,-.51
1913,-.40,-.44,-.42,-.38,-.43,-.45,-.36,-.33,-.35,-.31,-.19,-.01,-.34,-.37,-.42,-.41,-.38,-.28
1914,.04,-.09,-.23,-.29,-.21,-.25,-.23,-.16,-.17,-.03,-.15,-.04,-.15,-.15,-.02,-.24,-.22,-.12
1915,-.20,-.04,-.10,.07,-.06,-.21,-.12,-.22,-.20,-.24,-.12,-.21,-.14,-.12,-.09,-.03,-.18,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.82,-.36,-.31,-.16,-.30,-.38,-.38
1917,-.57,-.63,-.63,-.54,-.54,-.43,-.25,-.23,-.22,-.44,-.33,-.67,-.46,-.47,-.67,-.57,-.30,-.33
1918,-.47,-.34,-.25,-.43,-.42,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.32,-.49,-.37,-.32,-.11
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.27,-.26,-.24,-.20,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.26,-.35,-.30,-.27,-.22,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.05,-.17,-.23,-.29,-.30,-.27,-.14,-.26,-.19,-.03,-.13,-.17,-.19,-.21,-.23,-.27,-.22,-.12
1922,-.33,-.45,-.15,-.23,-.33,-.31,-.27,-.33,-.36,-.33,-.15,-.19,-.28,-.28,-.32,-.24,-.30,-.28
1923,-.28,-.39,-.34,-.40,-.33,-.29,-.31,-.33,-.31,-.14,-.02,-.04,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.30
1925,-.39,-.40,-.28,-.25,-.29,-.32,-.27,-.20,-.20,-.17,.05,.06,-.22,-.26,-.41,-.27,-.26,-.11
1926,.21,.03,.11,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.10
1927,-.27,-.18,-.39,-.30,-.25,-.27,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.21,-.25,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.14,-.28,-.27,-.17
1929,-.45,-.58,-.33,-.41,-.38,-.44,-.37,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.38,-.17
1930,-.30,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.18,-.05,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.11,-.21,-.11,-.23,-.19,-.08,-.04,-.04,-.07,.05,-.05,-.06,-.09,-.09,-.12,-.18,-.05,-.03
1932,.15,-.17,-.18,-.06,-.17,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.23,-.29,-.30,-.24,-.29,-.34,-.21,-.24,-.29,-.25,-.31,-.44,-.29,-.27,-.26,-.28,-.26,-.28
1934,-.21,-.03,-.29,-.31,-.09,-.15,-.11,-.12,-.15,-.07,.03,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.33,.14,-.15,-.37,-.29,-.27,-.22,-.22,-.22,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.24,-.18
1936,-.28,-.38,-.21,-.20,-.16,-.22,-.10,-.13,-.09,-.03,.01,-.01,-.15,-.16,-.28,-.19,-.15,-.04
1937,-.07,.03,-.21,-.16,-.05,-.05,-.04,.02,.09,.09,.08,-.07,-.03,-.02,-.02,-.14,-.02,.09
1938,.08,.03,.09,.06,-.09,-.17,-.09,-.05,.00,.15,.08,-.13,.00,.00,.01,.02,-.11,.07
1939,-.05,-.06,-.18,-.10,-.04,-.07,-.06,-.06,-.07,-.04,.07,.43,-.02,-.07,-.08,-.11,-.06,-.01
1940,.00,.08,.09,.18,.11,.11,.12,.07,.15,.11,.16,.32,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.22,.22,.19,.19,.27,.14,.17,.20
1942,.29,.03,.05,.10,.11,.05,.00,-.04,-.03,.01,.10,.13,.07,.07,.18,.09,.01,.03
1943,-.01,.17,-.04,.11,.07,-.05,.08,.01,.05,.23,.20,.23,.09,.08,.10,.05,.01,.16
1944,.36,.24,.26,.19,.18,.15,.17,.18,.27,.26,.11,.04,.20,.22,.28,.21,.17,.22
1945,.10,.00,.06,.19,.06,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.02,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.12,.07,.03,-.13,-.03,-.04,-.15,.03,-.04,-.01
1948,.07,-.15,-.25,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.12,-.15,-.06,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.12,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.02,.13,-.03,.02,-.02
1953,.07,.15,.11,.19,.11,.11,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.15,.02,.15,.08,.01,.07,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.15,.04,.03,.03,-.01,-.06,-.07,-.08,-.01,.03,.03,.05,.12,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.05,-.12,.18,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.01,.09,.00,.03,-.16,.06,.09,.15,.11,.04,.04
1962,.05,.14,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.14,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.22,-.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-.20,-.18,-.08,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.15,-.09,-.09
1966,-.19,-.04,.04,-.13,-.12,.01,.09,-.09,-.03,-.16,-.01,-.02,-.06,-.06,-.10,-.07,.00,-.07
1967,-.07,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.04,-.04,.04,.09,.10,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.02,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.02,-.15,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.08,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.33,.29,.27,.23,.19,.13,.05,.09,.10,.05,-.07,.16,.18,.27,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.11,-.08,-.05,-.07,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.13,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.06,-.24,-.05,.11,-.10,-.12,-.08,-.16,-.11,-.12
1977,.18,.23,.25,.27,.33,.27,.20,.18,.02,.03,.16,.03,.18,.19,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.07,.07,.15,-.03,.08
1979,.08,-.10,.19,.15,.04,.14,.04,.17,.25,.26,.29,.48,.17,.13,.02,.13,.11,.27
1980,.30,.40,.30,.30,.35,.21,.22,.19,.21,.13,.30,.22,.26,.28,.39,.32,.20,.21
1981,.53,.43,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.16,.03,.15,.18,.06,.14,.04,.14,.13,.18,.42,.14,.14,.21,.12,.08,.15
1983,.53,.43,.42,.28,.34,.23,.18,.35,.37,.17,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.22,.14,.14
1985,.22,-.04,.18,.12,.15,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.16,.10,.13,.18,.18,.26,.25,.13,.10
1987,.32,.43,.19,.25,.26,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.57,.45,.52,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.17,.34,.33,.35,.29,.20,.37,.27,.27,.24,.27,.28,.28
1990,.42,.44,.80,.56,.46,.38,.46,.34,.23,.45,.47,.41,.45,.45,.41,.61,.39,.38
1991,.43,.50,.35,.51,.35,.53,.47,.39,.44,.29,.30,.32,.41,.41,.45,.40,.46,.34
1992,.48,.41,.48,.27,.31,.26,.08,.08,.00,.06,.03,.21,.22,.23,.40,.36,.14,.03
